start_date,end_date,return,universe_size
2024-10-11,2024-10-22,0.032092833041047646,495
2024-10-22,2024-10-31,-0.0009458439907889915,493
2024-10-31,2024-11-12,0.043781056687393606,479
2024-11-12,2024-11-21,-0.017445998234311765,474
2024-11-21,2024-12-11,0.03201100326707969,474
2024-12-11,2024-12-23,0.005518830348725594,466
2024-12-23,2024-12-31,-0.005945760406417727,465
2024-12-31,2025-01-13,-0.01802508534943928,458
2025-01-13,2025-01-21,0.02843952304397138,455
2025-01-21,2025-02-11,0.026363001126752446,456
2025-02-11,2025-02-21,0.0156314292419109,455
2025-02-21,2025-03-03,-0.006804857223906815,453
2025-03-03,2025-03-11,0.019897775348718803,449
2025-03-11,2025-03-21,-0.004906766176992331,441
2025-03-21,2025-04-01,-0.02120436155144887,433
2025-04-01,2025-04-11,-0.01590858206832575,430
2025-04-11,2025-04-22,-0.002031705230877952,429
2025-04-22,2025-05-06,0.011028407934172122,425
2025-05-06,2025-05-13,0.0239647790140616,424
2025-05-13,2025-05-21,-0.0009051779602931164,426
2025-05-21,2025-06-03,-0.010513128109298244,426
2025-06-03,2025-06-11,0.017862567019216815,420
2025-06-11,2025-06-23,-0.011432496904476326,416
2025-06-23,2025-07-01,0.03478274285459513,413
2025-07-01,2025-07-11,0.007840485345810496,405
2025-07-11,2025-07-22,0.026250140236501233,403
2025-07-22,2025-07-31,0.007266148417083507,393
2025-07-31,2025-08-12,0.033706599307793184,390
2025-08-12,2025-08-21,0.029578346198956572,381
2025-08-21,2025-09-11,-0.028123810709459605,373
2025-09-11,2025-09-23,0.0007624739947046595,356
2025-09-23,2025-10-09,0.030554890028816787,351
2025-10-09,2025-10-13,-0.021843712625032968,348
2025-10-13,2025-10-21,-0.009001198670529682,347
2025-10-21,2025-10-31,0.02123647220386197,341
2025-10-31,2025-11-11,0.01445933098475617,340
2025-11-11,2025-11-21,-0.013308470922201304,334
2025-11-21,2025-12-11,0.0019563411765953598,327
2025-12-11,2025-12-23,0.009729006230331811,317
2025-12-23,2025-12-31,0.013797112050384908,310
2025-12-31,2026-01-13,0.07895420140658793,303
2026-01-13,2026-01-21,-0.00804340109340944,302
2026-01-21,2026-02-02,0.004440473060831676,298
2026-02-02,2026-02-11,0.01656399104123093,295
2026-02-11,2026-02-25,0.011618004537493147,290
2026-02-25,2026-03-11,-0.03181263993560937,288
2026-03-11,2026-03-23,-0.06691489612945696,281
2026-03-23,2026-03-31,0.013471080569954476,275
2026-03-31,2026-04-13,0.031099404584390148,272
2026-04-13,2026-04-21,0.032161009870493286,267
2026-04-21,2026-05-06,0.0031196385898959716,264
2026-05-06,2026-05-12,0.02868734876685664,255
2026-05-12,2026-05-21,-0.013530562522247222,256
2026-05-21,2026-06-11,-0.04275819417373784,254
2026-06-11,2026-06-23,0.027892303710401592,242
2026-06-23,2026-07-01,-0.010425871036003207,238
2026-07-01,2026-07-13,-0.006047910105204771,238
