date,nav,cash,cash_weight,holdings,locked_today,daily_return
2023-07-13,4.7179981946695495,-5.551115123125783e-17,-1.1765827145498908e-17,20,0,0.011244260447635712
2023-07-14,4.6847240745817285,-5.551115123125783e-17,-1.1849396111170986e-17,20,0,-0.0070525927978130065
2023-07-17,4.674773817651653,-5.551115123125783e-17,-1.1874617552971483e-17,20,0,-0.0021239792934792945
2023-07-18,4.686822158554253,-5.551115123125783e-17,-1.1844091658127133e-17,20,0,0.0025773099132850863
2023-07-19,4.6878550107653,-5.551115123125783e-17,-1.18414821072283e-17,20,0,0.00022037367241711792
2023-07-20,4.6727486649002925,-5.551115123125783e-17,-1.1879763970237489e-17,20,0,-0.00322244306411279
2023-07-21,4.668672365601041,-2.7755575615628914e-16,-5.945068199716278e-17,20,0,-0.0008723557784887648
2023-07-24,4.714326367810506,-2.7755575615628914e-16,-5.887495572038545e-17,20,0,0.009778797618322121
2023-07-25,4.793776634042515,-2.7755575615628914e-16,-5.789918415999096e-17,20,0,0.01685294144556826
2023-07-26,4.774634407011371,-2.7755575615628914e-16,-5.813131069233467e-17,20,0,-0.0039931412104616815
2023-07-27,4.757333688792495,-2.7755575615628914e-16,-5.834271344265074e-17,20,0,-0.003623464488395345
2023-07-28,4.779778239542696,-2.7755575615628914e-16,-5.806875178017552e-17,20,0,0.004717884474464418
2023-07-31,4.800127644406148,-2.7755575615628914e-16,-5.782257821408981e-17,20,0,0.004257395185220725
2023-08-01,4.777690509663193,-3.330652103015321e-16,-6.971259641617343e-17,20,0,-0.004674278770295137
2023-08-02,4.779704019402453,-3.330652103015321e-16,-6.968322911826894e-17,20,0,0.0004214399687856307
2023-08-03,4.7760711075291935,-3.330652103015321e-16,-6.973623356998904e-17,20,0,-0.0007600704684875836
2023-08-04,4.7730603216914185,-3.330652103015321e-16,-6.978022230054376e-17,20,0,-0.0006303896591968172
2023-08-07,4.7477594673322905,-3.330652103015321e-16,-7.015208175419162e-17,20,0,-0.0053007614934483804
2023-08-08,4.747586361567343,-3.330652103015321e-16,-7.015463962862504e-17,20,0,-3.646051703720676e-05
2023-08-09,4.748503975530957,-3.330652103015321e-16,-7.014108275318233e-17,20,0,0.0001932800993451611
2023-08-10,4.752950820590654,-3.330652103015321e-16,-7.007545898826315e-17,20,0,0.0009364728517891052
2023-08-11,4.7580832557976915,-2.3765711620882257e-16,-4.9948078550168077e-17,20,0,0.00107984184999399
2023-08-14,4.757117285639314,-2.3765711620882257e-16,-4.9958220901186713e-17,20,0,-0.00020301665743249764
2023-08-15,4.74905382271741,-2.3765711620882257e-16,-5.0043045431907763e-17,20,0,-0.0016950313472922085
2023-08-16,4.729035448483296,-2.3765711620882257e-16,-5.0254881528757485e-17,20,0,-0.004215234230101617
2023-08-17,4.767181451444308,-2.3765711620882257e-16,-4.985275232953843e-17,20,0,0.008066338976851162
2023-08-18,4.7511531555946656,-2.3765711620882257e-16,-5.0020933534624575e-17,20,0,-0.0033622164402377086
2023-08-21,4.716133096426377,-2.3765711620882257e-16,-5.039236835552964e-17,20,0,-0.007370854616010614
2023-08-22,4.702158288255853,-7.28583859910259e-17,-1.5494668942344535e-17,20,0,-0.002963192065362552
2023-08-23,4.667794328623091,-7.28583859910259e-17,-1.5608739559122288e-17,20,0,-0.007308124806982619
2023-08-24,4.671240461540795,-7.28583859910259e-17,-1.559722446122882e-17,20,0,0.0007382786547753817
2023-08-25,4.621150013736267,-7.28583859910259e-17,-1.5766288861962053e-17,20,0,-0.010723157631667979
2023-08-28,4.638277338715553,-7.28583859910259e-17,-1.5708070188662347e-17,20,0,0.003706290626440456
2023-08-29,4.71360928193951,-7.28583859910259e-17,-1.5457027011166876e-17,20,0,0.01624136241167884
2023-08-30,4.739621031524047,-7.28583859910259e-17,-1.5372196533527058e-17,20,0,0.005518435667589694
2023-08-31,4.730451152951992,2.7755575615628914e-16,5.867426746032102e-17,20,0,-0.0019347282221647832
2023-09-01,4.736468213738669,2.7755575615628914e-16,5.859972950968125e-17,20,0,0.0012719845511821593
2023-09-04,4.773269661746425,2.7755575615628914e-16,5.814793125572926e-17,20,0,0.007769807870980472
2023-09-05,4.769445942388009,2.7755575615628914e-16,5.819454911723353e-17,20,0,-0.0008010692102857764
2023-09-06,4.778601940914954,2.7755575615628914e-16,5.808304595949372e-17,20,0,0.0019197195308520154
2023-09-07,4.711531216572524,2.7755575615628914e-16,5.890988372951953e-17,20,0,-0.014035637446208393
2023-09-08,4.7044520895188295,2.7755575615628914e-16,5.899852966398846e-17,20,0,-0.001502510909573207
2023-09-11,4.717930900264141,2.7755575615628914e-16,5.882997483934106e-17,20,0,0.002865118081517126
2023-09-12,4.70874732464605,-4.7704895589362195e-18,-1.0131122419686876e-18,20,0,-0.001946526096339607
2023-09-13,4.684331479330411,-4.7704895589362195e-18,-1.0183928229643825e-18,20,0,-0.005185210339880397
2023-09-14,4.652702513848343,-4.7704895589362195e-18,-1.025315834128078e-18,20,0,-0.006752076709692911
2023-09-15,4.655391979729341,-4.7704895589362195e-18,-1.0247234990540087e-18,20,0,0.0005780438085163375
2023-09-18,4.687200016315192,-4.7704895589362195e-18,-1.017769572949973e-18,20,0,0.006832515226290248
2023-09-19,4.673674344331473,-4.7704895589362195e-18,-1.0207150108184516e-18,20,0,-0.00288566136214341
2023-09-20,4.667728131889238,-4.7704895589362195e-18,-1.0220152982657518e-18,20,0,-0.0012722778705039905
2023-09-21,4.642907565011767,-2.249177406821179e-16,-4.8443294968235674e-17,20,0,-0.005317483404378209
2023-09-22,4.684188370349199,-2.249177406821179e-16,-4.80163740010632e-17,20,0,0.008891153821048992
2023-09-25,4.678588472258114,-2.249177406821179e-16,-4.8073845779721183e-17,20,0,-0.0011954895167181068
2023-09-26,4.6946844270151855,-2.249177406821179e-16,-4.79090222524536e-17,20,0,0.0034403442090522596
2023-09-27,4.741593087174352,-2.249177406821179e-16,-4.743505748953938e-17,20,0,0.009991866522323534
2023-09-28,4.748868474492193,-2.249177406821179e-16,-4.7362385774680535e-17,20,0,0.0015343761440684833
2023-10-09,4.740343166340945,-2.249177406821179e-16,-4.744756503688554e-17,20,0,-0.001795229368225404
2023-10-10,4.725627936603607,-2.249177406821179e-16,-4.759531298263195e-17,20,0,-0.0031042541058680095
2023-10-11,4.714728157500239,5.551115123125783e-17,1.1773987677942812e-17,20,0,-0.0023065250268523574
2023-10-12,4.706917663421773,5.551115123125783e-17,1.1793525020130277e-17,20,0,-0.001656615995142885
2023-10-13,4.716320879087963,0.21574909692436356,0.04574521167145118,19,0,0.0019977438184788365
2023-10-16,4.7042952731790315,0.21574909692436356,0.045862150310681145,19,0,-0.002549785355413947
2023-10-17,4.663017607870233,0.21574909692436356,0.04626812829533875,19,0,-0.00877446310484331
2023-10-18,4.608989824182587,0.21574909692436356,0.04681049539149873,19,0,-0.011586442134908115
2023-10-19,4.559826691029522,0.21574909692436356,0.04731519672640267,19,0,-0.010666791429027489
2023-10-20,4.531839548844512,0.21574909692436356,0.04760739973227281,19,0,-0.006137764454966832
2023-10-23,4.487963892832076,-5.551115123125783e-17,-1.2368894348708357e-17,20,0,-0.00968164374301872
2023-10-24,4.580075093930405,-5.551115123125783e-17,-1.2120139974303515e-17,20,0,0.020524051284245726
2023-10-25,4.650505049564825,-5.551115123125783e-17,-1.1936585519125999e-17,20,0,0.015377467441037185
2023-10-26,4.627081868582668,-5.551115123125783e-17,-1.1997010817589355e-17,20,0,-0.00503669617224678
2023-10-27,4.676617852261726,-5.551115123125783e-17,-1.1869935279063112e-17,20,0,0.0107056639769878
2023-10-30,4.683344410900418,-5.551115123125783e-17,-1.185288681781686e-17,20,0,0.0014383383143949935
2023-10-31,4.641350502725865,-2.42861286636753e-17,-5.2325564831641266e-18,20,0,-0.008966649575635088
2023-11-01,4.636292447337095,-2.42861286636753e-17,-5.238265044653148e-18,20,0,-0.0010897809561677407
2023-11-02,4.634378137259994,-2.42861286636753e-17,-5.240428800666254e-18,20,0,-0.0004128967486077828
2023-11-03,4.688868382886057,-2.42861286636753e-17,-5.179528764833208e-18,20,0,0.01175783330841429
2023-11-06,4.766348363627686,-2.42861286636753e-17,-5.095332277641375e-18,20,0,0.016524238774631383
2023-11-07,4.814747613094899,-2.42861286636753e-17,-5.0441125091631295e-18,20,0,0.010154366776157442
2023-11-08,4.844520223983084,-2.42861286636753e-17,-5.013113278678327e-18,20,0,0.006183628568029453
2023-11-09,4.794988503303376,-2.42861286636753e-17,-5.064898205062231e-18,20,0,-0.010224277821051952
2023-11-10,4.7728676846761795,-2.42861286636753e-17,-5.088372498078798e-18,20,0,-0.004613320472396709
2023-11-13,4.8131089740072195,2.7755575615628914e-16,5.766662621918703e-17,20,0,0.008431260196095414
2023-11-14,4.880732175356325,2.7755575615628914e-16,5.686764734965728e-17,20,0,0.0140497964443147
2023-11-15,4.92221669414363,2.7755575615628914e-16,5.638836593409637e-17,20,0,0.008499650727972208
2023-11-16,4.850478445289072,2.7755575615628914e-16,5.72223460606983e-17,20,0,-0.014574378438054314
2023-11-17,4.902752235068809,2.7755575615628914e-16,5.661223387365274e-17,20,0,0.010777037846752435
2023-11-20,4.9309075540016805,2.7755575615628914e-16,5.628897989195491e-17,20,0,0.005742757859856562
2023-11-21,4.895467773765574,0.0,0.0,20,0,-0.007187273305772068
