date,jsl_official_index,replica_index,jsl_norm,replica_norm,jsl_daily_return,replica_daily_return,replica_minus_official_daily_return
2025-09-12,2474.455,2365.4459371659873,1.066201800834449,1.0648444273266497,0.003169904274485491,0.0031686901753875674,-1.2140990979236932e-06
2025-09-15,2454.214,2345.9646208822733,1.0574802881576413,1.0560745921104815,-0.008179983066978425,-0.008235790122117281,-5.5807055138856754e-05
2025-09-16,2458.558,2350.0762614670803,1.0593520460286976,1.0579255148033702,0.0017700167956014035,0.0017526439010238093,-1.7372894577594167e-05
2025-09-17,2477.145,2367.844919897172,1.0673608774166639,1.0659243688938689,0.007560122640995148,0.007560885883336921,7.632423417724965e-07
2025-09-18,2460.003,2351.458080838822,1.0599746726685864,1.0585475635403343,-0.006920063217938366,-0.0069205710731520265,-5.078552136605907e-07
2025-09-19,2442.439,2334.646307301199,1.052406635088652,1.0509794669359098,-0.007139828691265948,-0.007149510201613141,-9.681510347192557e-06
2025-09-22,2432.816,2325.3520720612173,1.0482602432854347,1.0467955139458809,-0.00393991415957573,-0.0039810035511228525,-4.108939154712221e-05
2025-09-23,2427.148,2319.806748023672,1.045817995676515,1.0442991950462084,-0.0023298103925655234,-0.0023847244914745325,-5.491409890900911e-05
2025-09-24,2461.638,2352.7725863590763,1.0606791671711593,1.0591393098389665,0.014210093492444509,0.014210596793672314,5.033012278055082e-07
2025-09-25,2469.811,2360.589833676697,1.0642007779170488,1.062658372402356,0.0033201469915560278,0.003322568174647822,2.421183091794177e-06
2025-09-26,2458.302,2349.554210484109,1.0592417398558178,1.05769050495966,-0.004659870735048144,-0.004674943115975272,-1.5072380927128037e-05
2025-09-29,2485.614,2375.442013961941,1.0710100296749459,1.0693443258464417,0.011110107708491412,0.011018176708720517,-9.193099977089503e-05
2025-09-30,2501.845,2390.9553976721513,1.0780036995656261,1.0763279308966542,0.006529976094437728,0.006530735593219594,7.59498781865986e-07
2025-10-09,2515.13,2403.570526720011,1.083727986701212,1.0820068389010848,0.005310081160103897,0.005276187527438525,-3.38936326653716e-05
2025-10-10,2502.479,2391.4686198638315,1.0782768796968991,1.0765589663146296,-0.005029958690008218,-0.005034970566349162,-5.011876340943466e-06
2025-10-13,2492.694,2382.060584423547,1.0740606847686565,1.072323784291116,-0.003910122722308507,-0.003933999117588294,-2.3876395279787133e-05
2025-10-14,2461.037,2351.7648419200464,1.0604202061949841,1.058685657090785,-0.012699914229343912,-0.012718292180142865,-1.8377950798953435e-05
2025-10-15,2476.689,2366.6599020393455,1.0671643945462215,1.0653909135980353,0.00635992063508195,0.006333566968004467,-2.6353667077483323e-05
2025-10-16,2447.34,2338.5398664326062,1.05451839506242,1.0527322166726099,-0.011850095026060936,-0.01188173914744084,-3.164412137990347e-05
2025-10-17,2422.035,2314.3193413686936,1.043614888403331,1.0418289486097039,-0.010339797494422598,-0.010357114459143446,-1.7316964720848205e-05
2025-10-20,2431.215,2322.900000930615,1.0475703988214475,1.0456916737617512,0.0037902012150941022,0.0037076385304919413,-8.256268460216099e-05
2025-10-21,2462.845,2352.8489706592018,1.0611992435409487,1.0591736954890658,0.013009955927385963,0.012892922517796057,-0.00011703340958990616
2025-10-22,2452.107,2342.510623023584,1.0565724166488208,1.054519718116519,-0.004359998294655054,-0.004393969933701891,-3.397163904683698e-05
2025-10-23,2452.426,2342.8025763909595,1.056709868481433,1.054651145730824,0.0001300922023386164,0.00012463267594453598,-5.459526394080427e-06
2025-10-24,2477.465,2366.6179528737903,1.067498760132764,1.065372029490616,0.010209890125125076,0.01016533647470963,-4.4553650415446455e-05
2025-10-27,2494.138,2382.348879174982,1.0746828805250572,1.072453564919229,0.0067298629849461555,0.00664700708540189,-8.28558995442652e-05
2025-10-28,2486.556,2375.0437910438095,1.0714159219204649,1.069165059244511,-0.003039928023228833,-0.003066338517850542,-2.641049462170919e-05
2025-10-29,2502.967,2390.7256214317845,1.0784871508389517,1.076224493339599,0.0065998915769442945,0.0066027542090425495,2.8626320982549913e-06
2025-10-30,2480.19,2368.9837190573994,1.0686729176370522,1.0664370180821505,-0.009100000119857787,-0.009094269195711435,5.730924146352123e-06
2025-10-31,2492.293,2380.542935534711,1.073887900490044,1.0716405896610786,0.0048798680746233725,0.004879398868098184,-4.6920652518878114e-07
2025-11-03,2494.337,2382.2142582535225,1.074768626339132,1.0723929630953761,0.0008201282914970243,0.0007020762759046839,-0.00011805201559234035
2025-11-04,2471.988,2360.6376998155783,1.065138811270016,1.0626799201327204,-0.008959895956320296,-0.00905735425064691,-9.745829432661335e-05
2025-11-05,2489.341,2377.1304896816077,1.0726159324340219,1.0701044209864377,0.007019856083443798,0.006986582425298815,-3.327365814498329e-05
2025-11-06,2505.472,2392.5207875474916,1.0795665139759214,1.0770326169176532,0.006480028248440073,0.0064743176416643955,-5.710606775677363e-06
2025-11-07,2502.49,2389.6157815752636,1.0782816194152651,1.0757248806585935,-0.0011901949013999324,-0.001214203022748217,-2.400812134828456e-05
2025-11-10,2515.553,2401.9290167083914,1.0839102504165565,1.0812678861476908,0.005220000879124331,0.0051528095972863674,-6.719128183796386e-05
2025-11-11,2514.069,2400.446564325509,1.0832708193206433,1.0806005358041944,-0.0005899299279322756,-0.0006171924201632262,-2.7262492230950564e-05
2025-11-12,2506.376,2393.099595066368,1.0799560326489037,1.0772931766502964,-0.0030599796584738215,-0.0030606676975563074,-6.880390824859361e-07
2025-11-13,2534.848,2420.2853869205933,1.0922241473138938,1.0895313083715048,0.011359827894936725,0.011360075406084968,2.4751114824361764e-07
2025-11-14,2517.586,2403.7425062904667,1.0847862365472787,1.0820842583357617,-0.006809875779533958,-0.0068350950344638894,-2.5219254929931267e-05
2025-11-17,2513.482,2399.568305863032,1.0830178907132975,1.0802051732998874,-0.0016301329924776065,-0.0017365422529704855,-0.00010640926049287902
2025-11-18,2500.161,2386.835638332832,1.0772780917721505,1.0744733534127753,-0.005299819135366812,-0.005306232583206505,-6.413447839692665e-06
2025-11-19,2502.536,2389.0210065660845,1.0783014400557045,1.075457132897342,0.0009499388239397888,0.0009155922587025245,-3.4346565237264315e-05
2025-11-20,2497.856,2384.506142221898,1.0762849053327435,1.0734246923915138,-0.0018701029675496361,-0.0018898386961763158,-1.9735728626679716e-05
2025-11-21,2468.381,2356.3590507094127,1.0635846145294772,1.060753815804737,-0.011800119782725771,-0.01180415978558036,-4.040002854588387e-06
2025-11-24,2483.364,2370.567675697703,1.0700405418273682,1.067150062238034,0.006069970559650306,0.006029906598492563,-4.006396115774358e-05
2025-11-25,2490.988,2377.8375307322426,1.0733255975384486,1.0704227071543142,0.0030700292023237985,0.00306671482492038,-3.3143774034183338e-06
2025-11-26,2468.818,2356.6727468860367,1.0637729106136513,1.0608950313025436,-0.008900083019267702,-0.00890085364229587,-7.706230281678828e-07
2025-11-27,2456.474,2344.8773461200267,1.058454084840097,1.055585137478118,-0.004999963545307962,-0.005005107638129114,-5.144092821152135e-06
2025-11-28,2476.445,2363.7924949833537,1.0670592589751953,1.0641001031100525,0.008129945604960609,0.0080665834802085,-6.336212475210878e-05
2025-12-01,2478.203,2365.1908183097535,1.0678167521467692,1.0647295813738855,0.0007098885701075641,0.0005915592546161808,-0.00011832931549138337
2025-12-02,2463.78,2351.3322419791693,1.0616021196020533,1.0584909151061694,-0.005819942918316112,-0.005859390381232732,-3.944746291661971e-05
2025-12-03,2457.916,2345.6991061335148,1.0590754188295222,1.0559550662755655,-0.0023800826372484263,-0.002395720921562816,-1.563828431438985e-05
